datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2024.01.01,00:00,23.59,Arnulf,245,21,266,3.3,7.1,0,76,5.2
2024.01.02,00:00,23.59,Arnulf,435,38,473,3,11.1,1,94,0
2024.01.03,00:00,23.59,Arnulf,569,53,622,7.1,13,1.6,74,3.8
2024.01.04,00:00,23.59,Arnulf,575,45,620,4.3,9.1,0,91,1.5
2024.01.05,00:00,23.59,Arnulf,490,44,534,2.2,8.6,12.7,95,0
2024.01.06,00:00,23.59,Arnulf,174,11,185,0.4,5,15.3,96,0
2024.01.07,00:00,23.59,Arnulf,106,22,128,-4,0.5,7.3,94,0
2024.01.08,00:00,23.59,Arnulf,235,18,253,-5.7,-2.9,0,94,0
2024.01.09,00:00,23.59,Arnulf,195,24,219,-7.9,-4.5,0,53,4
2024.01.10,00:00,23.59,Arnulf,209,10,219,-6.8,-3.4,0,95,4.5
2024.01.11,00:00,23.59,Arnulf,285,24,309,-7.1,-4.7,0,100,0
2024.01.12,00:00,23.59,Arnulf,346,36,382,-5.8,-2.6,0,68,6.5
2024.01.13,00:00,23.59,Arnulf,165,11,176,-6.9,-3.7,0,99,0
2024.01.14,00:00,23.59,Arnulf,168,12,180,-5.4,1,0,85,6.9
2024.01.15,00:00,23.59,Arnulf,467,57,524,-2.9,1.8,1.7,75,1.5
2024.01.16,00:00,23.59,Arnulf,411,28,439,-5.3,0.6,1.7,81,2
2024.01.17,00:00,23.59,Arnulf,257,28,285,-5.2,8.8,9.7,96,0
2024.01.18,00:00,23.59,Arnulf,492,38,530,-1.8,11.3,3.6,95,1
2024.01.19,00:00,23.59,Arnulf,296,26,322,-5.4,-0.3,0,59,2.4
2024.01.20,00:00,23.59,Arnulf,180,13,193,-8.6,1.5,0,8,8.8
2024.01.21,00:00,23.59,Arnulf,168,12,180,-7.9,4.8,0,56,7.3
2024.01.22,00:00,23.59,Arnulf,514,41,555,-2.7,10.8,5.3,88,0.4
2024.01.23,00:00,23.59,Arnulf,659,51,710,3.3,7.5,2.2,79,2.1
2024.01.24,00:00,23.59,Arnulf,747,66,813,6,14.2,3,98,0.5
2024.01.25,00:00,23.59,Arnulf,944,71,1015,6.5,9.6,0.5,93,3.7
2024.01.26,00:00,23.59,Arnulf,656,65,721,2.7,11.9,5.4,88,0.5
2024.01.27,00:00,23.59,Arnulf,584,40,624,0.1,6.8,0,14,8.9
2024.01.28,00:00,23.59,Arnulf,490,38,528,-1.8,10.3,0,9,9.1
2024.01.29,00:00,23.59,Arnulf,880,74,954,-2.6,12.4,0,60,8.7
2024.01.30,00:00,23.59,Arnulf,1153,70,1223,-1.5,14.1,0,88,7.8
2024.01.31,00:00,23.59,Arnulf,1181,86,1267,2.8,11.7,0,68,5.4
2024.01.01,00:00,23.59,Olympia,284,272,556,3.3,7.1,0,76,5.2
2024.01.02,00:00,23.59,Olympia,318,327,645,3,11.1,1,94,0
2024.01.03,00:00,23.59,Olympia,446,457,903,7.1,13,1.6,74,3.8
2024.01.04,00:00,23.59,Olympia,465,444,909,4.3,9.1,0,91,1.5
2024.01.05,00:00,23.59,Olympia,390,367,757,2.2,8.6,12.7,95,0
2024.01.06,00:00,23.59,Olympia,225,210,435,0.4,5,15.3,96,0
2024.01.07,00:00,23.59,Olympia,170,152,322,-4,0.5,7.3,94,0
2024.01.08,00:00,23.59,Olympia,306,260,566,-5.7,-2.9,0,94,0
2024.01.09,00:00,23.59,Olympia,304,288,592,-7.9,-4.5,0,53,4
2024.01.10,00:00,23.59,Olympia,298,269,567,-6.8,-3.4,0,95,4.5
2024.01.11,00:00,23.59,Olympia,344,314,658,-7.1,-4.7,0,100,0
2024.01.12,00:00,23.59,Olympia,311,294,605,-5.8,-2.6,0,68,6.5
2024.01.13,00:00,23.59,Olympia,205,200,405,-6.9,-3.7,0,99,0
2024.01.14,00:00,23.59,Olympia,291,264,555,-5.4,1,0,85,6.9
2024.01.15,00:00,23.59,Olympia,495,448,943,-2.9,1.8,1.7,75,1.5
2024.01.16,00:00,23.59,Olympia,423,403,826,-5.3,0.6,1.7,81,2
2024.01.17,00:00,23.59,Olympia,265,276,541,-5.2,8.8,9.7,96,0
2024.01.18,00:00,23.59,Olympia,443,437,880,-1.8,11.3,3.6,95,1
2024.01.19,00:00,23.59,Olympia,315,298,613,-5.4,-0.3,0,59,2.4
2024.01.20,00:00,23.59,Olympia,231,209,440,-8.6,1.5,0,8,8.8
2024.01.21,00:00,23.59,Olympia,291,264,555,-7.9,4.8,0,56,7.3
2024.01.22,00:00,23.59,Olympia,466,471,937,-2.7,10.8,5.3,88,0.4
2024.01.23,00:00,23.59,Olympia,605,577,1182,3.3,7.5,2.2,79,2.1
2024.01.24,00:00,23.59,Olympia,518,522,1040,6,14.2,3,98,0.5
2024.01.25,00:00,23.59,Olympia,684,709,1393,6.5,9.6,0.5,93,3.7
2024.01.26,00:00,23.59,Olympia,480,451,931,2.7,11.9,5.4,88,0.5
2024.01.27,00:00,23.59,Olympia,579,571,1150,0.1,6.8,0,14,8.9
2024.01.28,00:00,23.59,Olympia,597,569,1166,-1.8,10.3,0,9,9.1
2024.01.29,00:00,23.59,Olympia,771,766,1537,-2.6,12.4,0,60,8.7
2024.01.30,00:00,23.59,Olympia,906,928,1834,-1.5,14.1,0,88,7.8
2024.01.31,00:00,23.59,Olympia,930,897,1827,2.8,11.7,0,68,5.4
2024.01.01,00:00,23.59,Hirsch,127,134,261,3.3,7.1,0,76,5.2
2024.01.02,00:00,23.59,Hirsch,287,303,590,3,11.1,1,94,0
2024.01.03,00:00,23.59,Hirsch,339,375,714,7.1,13,1.6,74,3.8
2024.01.04,00:00,23.59,Hirsch,367,362,729,4.3,9.1,0,91,1.5
2024.01.05,00:00,23.59,Hirsch,306,325,631,2.2,8.6,12.7,95,0
2024.01.06,00:00,23.59,Hirsch,101,74,175,0.4,5,15.3,96,0
2024.01.07,00:00,23.59,Hirsch,39,39,78,-4,0.5,7.3,94,0
2024.01.08,00:00,23.59,Hirsch,158,188,346,-5.7,-2.9,0,94,0
2024.01.09,00:00,23.59,Hirsch,109,146,255,-7.9,-4.5,0,53,4
2024.01.10,00:00,23.59,Hirsch,95,132,227,-6.8,-3.4,0,95,4.5
2024.01.11,00:00,23.59,Hirsch,108,132,240,-7.1,-4.7,0,100,0
2024.01.12,00:00,23.59,Hirsch,126,144,270,-5.8,-2.6,0,68,6.5
2024.01.13,00:00,23.59,Hirsch,41,57,98,-6.9,-3.7,0,99,0
2024.01.14,00:00,23.59,Hirsch,55,62,117,-5.4,1,0,85,6.9
2024.01.15,00:00,23.59,Hirsch,220,288,508,-2.9,1.8,1.7,75,1.5
2024.01.16,00:00,23.59,Hirsch,216,219,435,-5.3,0.6,1.7,81,2
2024.01.17,00:00,23.59,Hirsch,116,113,229,-5.2,8.8,9.7,96,0
2024.01.18,00:00,23.59,Hirsch,324,350,674,-1.8,11.3,3.6,95,1
2024.01.19,00:00,23.59,Hirsch,155,163,318,-5.4,-0.3,0,59,2.4
2024.01.20,00:00,23.59,Hirsch,42,51,93,-8.6,1.5,0,8,8.8
2024.01.21,00:00,23.59,Hirsch,55,62,117,-7.9,4.8,0,56,7.3
2024.01.22,00:00,23.59,Hirsch,359,371,730,-2.7,10.8,5.3,88,0.4
2024.01.23,00:00,23.59,Hirsch,491,525,1016,3.3,7.5,2.2,79,2.1
2024.01.24,00:00,23.59,Hirsch,520,634,1154,6,14.2,3,98,0.5
2024.01.25,00:00,23.59,Hirsch,741,759,1500,6.5,9.6,0.5,93,3.7
2024.01.26,00:00,23.59,Hirsch,437,469,906,2.7,11.9,5.4,88,0.5
2024.01.27,00:00,23.59,Hirsch,350,374,724,0.1,6.8,0,14,8.9
2024.01.28,00:00,23.59,Hirsch,401,359,760,-1.8,10.3,0,9,9.1
2024.01.29,00:00,23.59,Hirsch,774,598,1372,-2.6,12.4,0,60,8.7
2024.01.30,00:00,23.59,Hirsch,899,938,1837,-1.5,14.1,0,88,7.8
2024.01.31,00:00,23.59,Hirsch,860,856,1716,2.8,11.7,0,68,5.4
2024.01.01,00:00,23.59,Erhardt,493,461,954,3.3,7.1,0,76,5.2
2024.01.02,00:00,23.59,Erhardt,687,687,1374,3,11.1,1,94,0
2024.01.03,00:00,23.59,Erhardt,953,928,1881,7.1,13,1.6,74,3.8
2024.01.04,00:00,23.59,Erhardt,904,971,1875,4.3,9.1,0,91,1.5
2024.01.05,00:00,23.59,Erhardt,924,880,1804,2.2,8.6,12.7,95,0
2024.01.06,00:00,23.59,Erhardt,366,364,730,0.4,5,15.3,96,0
